"Facility","Last Inspection Date","Score","Description","Address","City","Zip","Phone"
"SUBWAY SANDWICH #18772",07/23/2019,96.0,"RESTAURANT (31-60) SEATS MODERATE RISK","2590 GLENDALE BLVD ","LOS ANGELES","90039",""
"GOLDEN FORK",05/15/2019,96.0,"RESTAURANT (0-30) SEATS HIGH RISK","222 S GLENDALE AVE ","GLENDALE","91205","818-240-0040"
"WESTERN FUEL GROUP",04/25/2019,96.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","301 S VERDUGO RD","GLENDALE","91205","818-357-5901"
"KHATUN PERSIAN-ARMENIAN CUISINE",08/20/2019,96.0,"RESTAURANT (0-30) SEATS HIGH RISK","625 E COLORADO BLVD","GLENDALE","91205","818-696-2303"
"ESTRELLA MARKET",11/29/2018,96.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","111 E CHESTNUT ST ","GLENDALE","91205",""
"THAI FOOD",08/21/2019,96.0,"RESTAURANT (0-30) SEATS HIGH RISK","1361 E COLORADO ST ","GLENDALE","91205",""
"LE PETIT CAFE PATISSERIE",08/21/2019,96.0,"RESTAURANT (0-30) SEATS HIGH RISK","1017 N BRAND BLVD","GLENDALE","91202","818-550-1755"
"L A ITALIAN KITCHEN",08/13/2019,96.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1127 GLENDALE GALLERIA ","GLENDALE","91210",""
"BIG SAV DISCOUNT STORE",10/04/2018,96.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1530 W GLENOAKS BLVD ","GLENDALE","91201",""
"SUPER KING MARKET -MEAT DEPARTMENT",09/10/2019,96.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","6501 SAN FERNANDO RD","GLENDALE","91201","747-272-0077"
"COURTYARD CAFE COFFEE CART",02/06/2018,97.0,"MOBILE FOOD FACILITY CART - HIGH RISK","1509 WILSON TER ","GLENDALE","91206-4007",""
"CAPITAL ONE CAFE",01/22/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","821 AMERICANA WAY","GLENDALE","91210",""
"LAVETA",09/25/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","318 GLENDALE BLVD","LOS ANGELES","90026",""
"RALPHS GROCERY CO STORE #134",08/14/2018,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","211 N GLENDALE AVE ","GLENDALE","91202",""
"SUBWAY #28619",09/25/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3112 N GLENDALE BLVD ","LOS ANGELES","90039",""
"BROADVIEW LIQUOR",07/02/2018,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","3530 N VERDUGO RD","GLENDALE","91208","818-378-4830"
"MICHAEL'S #2008",02/26/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","219 N GLENDALE AVE ","GLENDALE","91206",""
"ROSS DRESS FOR LESS #1953",11/14/2018,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","124 S BRAND BLVD STE B","GLENDALE","91204-1308","818-240-9900"
"CLUB TEE GEE",01/25/2019,97.0,"RESTAURANT (31-60) SEATS LOW RISK","3208 GLENDALE BLVD ","LOS ANGELES","90039",""
"LA CUBANA",05/28/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","801 S GLENDALE AVE #3","GLENDALE","91205","818-243-4398"
"KING TACO",08/21/2019,97.0,"RESTAURANT (61-150) SEATS HIGH RISK","117 E BROADWAY ST","GLENDALE","91205",""
"TACOS VILLA CORONA",06/26/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","3185 GLENDALE BLVD","LOS ANGELES","90039","323-661-3458"
"SHELL- ARMAG PETRO",03/11/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1041 W KENNETH RD","GLENDALE","91202","818-245-6603"
"PIRCH",07/18/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","101 S BRAND BLVD","GLENDALE","91210","818-743-9999"
"NESPRESSO",02/14/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","821 AMERICANA WAY # E5","GLENDALE","91210","646-376-4130"
"MASSIS KABOB",07/18/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1132 GLENDALE GALLERIA ","GLENDALE","91210",""
"SHELL SERVICE STATION",06/20/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","3047 GLENDALE BLVD","LOS ANGELES","90039","323-660-7493"
"SUBWAY #61352",05/06/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1100 S GLENDALE AVE","GLENDALE","91205","818-241-2797"
"GLENDALE ROYAL PALACE",06/06/2019,97.0,"RESTAURANT (151 + ) SEATS HIGH RISK","210 S BRAND BLVD ","GLENDALE","91204",""
"ADAMS SQUARE LIQUOR",08/22/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1021 E CHEVY CHASE DR ","GLENDALE","91205",""
"PROOF BAKERY",06/12/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","3156 GLENDALE BLVD ","LOS ANGELES","90039","323-664-8633"
"POKI TOMIK",06/20/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1351 E COLORADO ST # B","GLENDALE","91205","818-818-3993"
"VIET",06/13/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","3133 GLENDALE BLVD ","LOS ANGELES","90039",""
"AGUA FRESCA MARKET",07/10/2018,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1705 LAKE ST","GLENDALE","91201","818-507-1990"
"EDEN ON BRAND",06/21/2019,97.0,"RESTAURANT (151 + ) SEATS HIGH RISK","214 N BRAND BLVD","GLENDALE","91203","818-736-1116"
"MAYRIK",09/06/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1115 N PACIFIC AVE","GLENDALE","91202","818-649-1116"
"THE JUICE",06/26/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3145 GLENDALE BLVD","LOS ANGELES","90039","323-644-0250"
"ROOBIC'S CAFE",09/10/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","325 N VERDUGO RD","GLENDALE","91206","818-484-7611"
"ALLACQUA",09/17/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","3280 GLENDALE BLVD","LOS ANGELES","90039-1824","323-663-3280"
"RIBBONCRAFT",10/01/2018,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1559 THE MIDWAY ST ","GLENDALE","91208",""
"KIM'S KITCHEN",08/08/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1229 E COLORADO ST ","GLENDALE","91205",""
"DOLLAR KING",05/01/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1222 E COLORADO ST ","GLENDALE","91205","818-662-8884"
"IN N OUT BURGERS #157",08/15/2019,97.0,"RESTAURANT (61-150) SEATS MODERATE RISK","310 N HARVEY DR ","GLENDALE","91206","800-786-1000"
"ALEGRO",06/20/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","423 N BRAND BLVD ","GLENDALE","91203","818-242-6565"
"LA BOHEME BANQUET",09/11/2019,97.0,"RESTAURANT (61-150) SEATS HIGH RISK","1321 E COLORADO ST # E","GLENDALE","91205","818-247-1772"
"CARNICERIA,LATINA",07/24/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1375 E COLORADO ST ","GLENDALE","91205",""
"GLENDALE CAFE",07/10/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1242 W GLENOAKS BLVD ","GLENDALE","91201",""
"THE SALVATION ARMY",01/30/2019,97.0,"RESTAURANT (61-150) SEATS LOW RISK","320 W WINDSOR RD ","GLENDALE","91204","818-246-5586"
"DOMINO'S PIZZA",07/10/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3430 OCEAN VIEW BLVD STE #H","GLENDALE","91208","818-249-5530"
"THE AMERICANA AT BRAND LLC",05/17/2019,97.0,"MOBILE FOOD FACILITY CART - LOW RISK","889 AMERICANA WAY ","GLENDALE","91210-1555",""
"EGGSLUT",09/05/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","252 S BRAND BLVD # D","GLENDALE","91204","818-484-5911"
"ADAMS KABOB HOUSE INC",06/27/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1130 S ADAMS ST ","GLENDALE","91205",""
"BURGER KING #2132",08/23/2019,97.0,"RESTAURANT (61-150) SEATS MODERATE RISK","1200 E COLORADO ST ","GLENDALE","91205",""
"STARBUCK'S #11894",04/10/2019,97.0,"RESTAURANT (31-60) SEATS LOW RISK","919 S CENTRAL AVE UNIT F","GLENDALE","91204","818-545-4122"
"PHOENICIA",05/15/2019,97.0,"RESTAURANT (151 + ) SEATS HIGH RISK","343 N CENTRAL AVE ","GLENDALE","91203",""
"GOLD STAR RESTAURANT",07/30/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","1623 S BRAND BLVD ","GLENDALE","91204",""
"GLENROSE LIQUOR",07/17/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1307 W GLENOAKS BLVD ","GLENDALE","91201","818-243-3526"
"WALT DISNEY COMAPNY COMMISSARY",08/13/2019,97.0,"RESTAURANT (151 + ) SEATS HIGH RISK","1200 GRAND CENTRAL AVE ","GLENDALE","91201-2426","818-931-2955"
"MR GOOD'S DONUTS",07/01/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","801 S GLENDALE AVE STE #2","GLENDALE","91205",""
"ATWATER 76",02/28/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","3070 GLENDALE BLVD ","LOS ANGELES","90039",""
"7 DAYS LIQUOR",09/04/2019,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","1700 S VICTORY BLVD ","GLENDALE","91201",""
"STARBUCKS",07/23/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","1200 N CENTRAL AVE ","GLENDALE","91202",""
"CHIPOTLE MEXICAN GRILL",07/10/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1133 GALLERIA WAY FC12","GLENDALE","91210",""
"HERNANDEZ TACOS MEXICO",04/10/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","1538 GLENDALE BLVD","LOS ANGELES","90026","323-445-3115"
"SEVAN MEAT & FISH MARKET",08/29/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1037 E BROADWAY ","GLENDALE","91205",""
"DUNKIN' DONUTS",09/25/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3100 GLENDALE BLVD # A","LOS ANGELES","90039",""
"DUNKIN",08/29/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1151 GLENDALE GALLERIA","GLENDALE","91210",""
"VAROUJS KABOBS",08/27/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1110 S GLENDALE AVE ","GLENDALE","91205",""
"GLENDALE LIQUOR",03/12/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1311 E COLORADO ST","GLENDALE","91205","818-244-1036"
"ARDEN MEDICAL PHARMACY",10/30/2018,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","315 ARDEN AVE # 110","GLENDALE","91203","818-247-1842"
"GAM TU BOP",09/06/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","132 N BRAND BLVD","GLENDALE","91203","818-696-1236"
"SCHREINER'S FINE SAUSAGES",05/07/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","3417 OCEAN VIEW BLVD ","GLENDALE","91208","818-244-4735"
"7-ELEVEN #29032-A",08/01/2019,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","6350 SAN FERNANDO RD ","GLENDALE","91201",""
"CLUB TEE GEE",01/25/2019,97.0,"RESTAURANT (31-60) SEATS LOW RISK","3208 GLENDALE BLVD","LOS ANGELES","90039","509-205-1588"
"NORTH POLE SNOW CREAM, INC.",01/14/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","3211 GLENDALE GALLERIA # JU01","GLENDALE","91210","323-974-3184"
"HONEY BAKED HAMS",09/12/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","547 N GLENDALE AVE ","GLENDALE","91206",""
"HYATT PLACE GLENDALE",05/21/2019,97.0,"RESTAURANT (61-150) SEATS HIGH RISK","225 W WILSON","GLENDALE","91203","747-272-1710"
"99 CENTS ONLY STORE #054",11/26/2018,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","6401 SAN FERNANDO RD ","GLENDALE","91201",""
"RITE AID #6756",12/07/2018,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","707 N PACIFIC AVE","GLENDALE","91203","818-547-5710"
"PROJECT PLAY LA",08/09/2019,97.0,"RESTAURANT (61-150) SEATS HIGH RISK","1111 S CENTRAL AVE","GLENDALE","91204","818-696-2344"
"EL PAVO BAKERIES",07/12/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","4106 SAN FERNANDO RD ","GLENDALE","91204",""
"OENO VINO WINES",07/31/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3111 GLENDALE BLVD UNIT 2","LOS ANGELES","90039","323-662-5556"
"COFFEE COMMISSARY",09/26/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","1419 N KENNETH RD","GLENDALE","91201","203-448-9148"
"FARM DISTRICT MARTKETPLACE",05/06/2019,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","328 N ORANGE ST","GLENDALE","91203",""
"AUNTIE ANNE'S & CINNABON",01/17/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1111 GLENDALE GALLERIA","GLENDALE","91210","818-549-0562"
"DEL TACO #153",08/20/2019,97.0,"RESTAURANT (31-60) SEATS MODERATE RISK","2101 W GLENOAKS BLVD ","GLENDALE","91201",""
"MIGNON CHOCOLATE",09/10/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","315 N VERDUGO RD ","GLENDALE","91206","818-549-9600"
"GREEN CRUSH",01/14/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","2168 GLENDALE GALLERIA WAY # S2167","GLENDALE","92410",""
"CVS #9787",08/14/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","3943 SAN FERNANDO RD ","GLENDALE","91204",""
"JOURNEYMEN",06/20/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","3219 GLENDALE BLVD","LOS ANGELES","90039","323-284-8879"
"ROSS STORES #466",03/21/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","241 N GLENDALE AVE ","GLENDALE","91206",""
"PANDA EXPRESS #118",07/18/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","1134 GLENDALE GALLERIA # #4","GLENDALE","91210",""
"MARQUIS BANQUET HALL INC",05/16/2019,97.0,"RESTAURANT (151 + ) SEATS HIGH RISK","811 E COLORADO ST ","GLENDALE","91205",""
"THE AMERICANA AT BRAND LLC",04/25/2019,97.0,"FOOD VEHICLE COMMISSARY CLNG/STRGE FACILITY","889 AMERICANA WAY STE 330","GLENDALE","91210-1559",""
"HIGHLIGHT COFFEE",01/16/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","701 E BROADWAY AVE","GLENDALE","91205","909-489-8036"
"ZONE CLUB",03/27/2019,97.0,"RESTAURANT (31-60) SEATS MODERATE RISK","826 N GLENDALE AVE ","GLENDALE","91206",""
"MIX & MATCH BURGERS",08/14/2019,97.0,"RESTAURANT (31-60) SEATS HIGH RISK","112 W CALIFORNIA AVE","GLENDALE","91203-2212","818-396-4965"
"SIPAN MEAT MARKET",08/08/2019,97.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1359 E COLORADO ST ","GLENDALE","91205",""
"RALPHS GROCERY COMPANY #60",01/16/2019,97.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","1416 E COLORADO ST ","GLENDALE","91205",""
"FRANCHISE OF BASKIN ROBBINS",07/18/2019,97.0,"RESTAURANT (0-30) SEATS LOW RISK","1010 N GLENDALE AVE STE 104","GLENDALE","91206",""
"WHOLE FOODS365 - KITCHEN",09/05/2019,97.0,"RESTAURANT (0-30) SEATS HIGH RISK","2520 GLENDALE BLVD","LOS ANGELES","90039",""
"THANK YOU FOR COMING",01/06/2019,97.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3416 GLENDALE BLVD ","LOS ANGELES","90039","310-908-1806"
"BON APPETIT AT DREAMWORKS",08/28/2019,97.0,"RESTAURANT (151 + ) SEATS HIGH RISK","1000 FLOWER ST ","GLENDALE","91201-3007",""
"MAKI AND DON",07/23/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","104 N GLENDALE AVE","GLENDALE","91206-4451",""
"JON'S DELI #14",08/21/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","600 E COLORADO ST ","GLENDALE","91205",""
"RITE AID #05434",03/12/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1433 GLENDALE BLVD","LOS ANGELES","90026","213-483-1128"
"PANDA EXPRESS #723",09/12/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","561 N GLENDALE AVE ","GLENDALE","91206",""
"FIVE GUYS BURGERS & FRIES",08/07/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","1137 GLENDALE GALLERIA WAY # FC11","GLENDALE","91210",""
"PALACE LIQUOR DEPOT",03/04/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","2908 N VERDUGO RD ","GLENDALE","91208",""
"RALPHS GROCERY CO #97-BAKERY",07/23/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1200 N CENTRAL AVE ","GLENDALE","91202",""
"EMBASSY SUITES BAR",01/03/2019,98.0,"RESTAURANT (61-150) SEATS LOW RISK","800 N CENTRAL AVE ","GLENDALE","91203",""
"GLENDALE CHEVRON",11/20/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","466 W BROADWAY","GLENDALE","91204","818-551-1691"
"VIRGILS",04/02/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","520 N GLENDALE AVE ","GLENDALE","91206",""
"STARBUCKS #14152",01/04/2019,98.0,"RESTAURANT (0-30) SEATS LOW RISK","1200 N PACIFIC AVE STE 103","GLENDALE","91202","818-956-7540"
"ALEX THEATRE",05/24/2019,98.0,"RESTAURANT (0-30) SEATS LOW RISK","216 N BRAND BLVD ","GLENDALE","91203","818-243-2611"
"SHAWARMA FACTORY",07/26/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","919 S CENTRAL AVE #C","GLENDALE","91204","818-244-3334"
"WESTERN DRUG",07/10/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","501 WESTERN AVE ","GLENDALE","91201",""
"STAPLES OFFICE SUPERSTORE497",12/13/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","213 N GLENDALE AVE ","GLENDALE","91206",""
"HOUSE OF LIQUOR",04/12/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1008 E COLORADO ST ","GLENDALE","91205","818-242-3054"
"BEVMO",12/06/2018,98.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","200 S BRAND BLVD ","GLENDALE","91204",""
"DISNEY/CIRCLE SEVEN",07/18/2019,98.0,"RESTAURANT (61-150) SEATS HIGH RISK","521 CIRCLE SEVEN DR ","GLENDALE","91201-2330","818-560-7918"
"SEVAN MEAT MARKET",07/24/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1315 E COLORADO ST ","GLENDALE","91205",""
"SEVEN SEAS GOURMET FOODS",02/04/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","318 N CENTRAL AVE","GLENDALE","91203",""
"VONS MEAT MARKET 1707",07/17/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","561 N GLENDALE AVE ","GLENDALE","91206",""
"DRUG CENTER PHARMACY #2",09/18/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1530 E CHEVY CHASE DR ","GLENDALE","91206",""
"HOME GOODS #0476",01/08/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","142 S BRAND BLVD ","GLENDALE","91206",""
"LORI'S GIFTS #462",06/13/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1420 S CENTRAL AVE","GLENDALE","91204",""
"LORI'S GIFTS #405",06/18/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1509 WILSON TER","GLENDALE","91206",""
"GET YOK'D NUTRITION",04/12/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1106 E COLORADO ST","GLENDALE","91205",""
"LAEMMLE THEATRES-CONCESSION",09/11/2018,98.0,"RESTAURANT (0-30) SEATS LOW RISK","207 N MARYLAND AVE","GLENDALE","91206",""
"OENO VINO WINES",04/26/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","3111 GLENDALE BLVD UNIT 2","LOS ANGELES","90039","323-662-5556"
"KELLY'S SHELL",11/20/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","625 N PACIFIC AVE ","GLENDALE","91203",""
"HIGHLAND ARCO SMOG",11/08/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","5800 SAN FERNANDO RD ","GLENDALE","91202",""
"BY CHOLE",09/05/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","2520 GLENDALE BLVD","LOS ANGELES","90039-3220",""
"TACO BELL",08/09/2019,98.0,"RESTAURANT (31-60) SEATS MODERATE RISK","1113 E COLORADO ST","GLENDALE","91205","818-956-6167"
"KIKKA SUSHI",08/28/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","331 N GLENDALE AVE ","GLENDALE","91206",""
"LA VACA BRAZILLIAN GRILL",08/07/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","1148 GLENDALE GALLERIA ","GLENDALE","91210","818-243-3459"
"RALPHS MEATS #97",07/23/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","1200 N CENTRAL AVE ","GLENDALE","91202",""
"PANDA EXPRESS # 100",09/04/2019,98.0,"RESTAURANT (31-60) SEATS HIGH RISK","3214 GLENDALE GALLERIA ","GLENDALE","91210",""
"NEW BIG SAVE 99 CENTS & UP",03/14/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","317 S VERDUGO RD ","GLENDALE","91205",""
"WHOLE FOODS MARKET-SEAFOOD",08/28/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK","331 N GLENDALE AVE ","GLENDALE","91206",""
"FOUR SEASONS PRODUCE & DELI",03/20/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","1200 S BRAND BLVD STE 5 & 6","GLENDALE","91204","818-552-2995"
"KENTUCKY FRIED CHICKEN",09/11/2019,98.0,"RESTAURANT (31-60) SEATS MODERATE RISK","1400 GLENDALE BLVD ","LOS ANGELES","90026","213-483-8917"
"24 HOUR FITNESS CLUB #113",03/27/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","240 N BRAND BLVD ","GLENDALE","91203",""
"GLENDALE MOCHA MAX",07/22/2015,98.0,"MOBILE FOOD FACILITY CART - LOW RISK","1616 S CENTRAL AVE ","GLENDALE","91204-2702","909-598-3145"
"MOONLIGHT ROLLERWAY",03/12/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","5110 SAN FERNANDO RD ","GLENDALE","91204",""
"IN-N-OUT BURGER #174",09/20/2019,98.0,"RESTAURANT (61-150) SEATS MODERATE RISK","119 S BRAND BLVD ","GLENDALE","91204","800-786-1000"
"THE PLATE CALIFORNIA BISTRO",05/28/2019,98.0,"RESTAURANT (31-60) SEATS HIGH RISK","505 N BRAND BLVD STE 150","GLENDALE","91203","818-241-1840"
"BURGERS NEVER SAY DIE",06/19/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","2388 GLENDALE BLVD","LOS ANGELES","90039",""
"THE LOBBY SHOP",03/11/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","500 N BRAND BLVD # 105","GLENDALE","91203","818-240-4242"
"SUPER KING MARKET -SERVICE DELI",09/10/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","6501 SAN FERNANDO RD","GLENDALE","91201","747-272-0077"
"THE VITAMIN SHOPPE",02/04/2019,98.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","401 N GLENDALE AVE","GLENDALE","91206",""
"SILVERLAKE WINE COMPANY",05/14/2019,98.0,"RESTAURANT (0-30) SEATS LOW RISK","2395 N GLENDALE BLVD STE A","LOS ANGELES","90039",""
"MONTA FACTORY",08/22/2019,98.0,"RESTAURANT (31-60) SEATS HIGH RISK","1208 W GLENOAKS BLVD","GLENDALE","91201",""
"BRAND'S MINI MART",02/05/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","327 N BRAND BLVD ","GLENDALE","91203",""
"RED RIBBON BAKESHOP",09/11/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","914 E COLORADO ST ","GLENDALE","91205",""
"VONS #2254",06/04/2019,98.0,"FOOD MKT RETAIL (2,000+ SF) LOW RISK","311 W LOS FELIZ RD ","GLENDALE","91204",""
"GLENDALE BLVD CHEVRON",04/29/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","501 N GLENDALE BLVD ","LOS ANGELES","90026",""
"CARIACO",08/08/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","211 W WILSON AVE","GLENDALE","91203",""
"DREAM PALACE RESTAURANT",12/18/2018,98.0,"RESTAURANT (151 + ) SEATS HIGH RISK","508 E BROADWAY ","GLENDALE","91205",""
"NORTH GLENDALE MOBIL",08/02/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","700 N GLENDALE AVE","GLENDALE","91206","818-242-1080"
"V&G PRODUCE",03/15/2017,98.0,"MOBILE FOOD FACILITY - TRUCK LOW RISK","626 SALEM ST ","GLENDALE","91203-2421","818-468-8387"
"BARGAIN CENTER",07/02/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","725 S GLENDALE AVE #B","GLENDALE","91205","818-409-9256"
"THE FLAME BROILER",08/01/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1500 CANADA BLVD # A","GLENDALE","91208",""
"PERSONS COMPOUNDING PHARMACY",09/25/2018,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","812 N GLENDALE AVE ","GLENDALE","91206",""
"CRISPY CRUST PIZZA",04/26/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","3111 N GLENDALE BLVD UNIT UNIT","LOS ANGELES","90039",""
"LUCKY 7 PIZZA",09/17/2019,98.0,"RESTAURANT (0-30) SEATS MODERATE RISK","440 W BROADWAY AVE","GLENDALE","91004","818-242-7046"
"ACE LIQUORS JR MARKET",04/16/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1740 VICTORY BLVD ","GLENDALE","91201",""
"DOLLAR KING",10/01/2019,98.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","4006 SAN FERNANDO RD","GLENDALE","91204","818-396-4779"
"GINA FEEDS",09/24/2019,98.0,"RESTAURANT (0-30) SEATS HIGH RISK","3527 N VERDUGO RD","GLENDALE","91208","818-693-2901"
